League,Round,Day,Date,Time,First_Team_Name,First_Team_Score,First_Team_Win_Status,Second_Team_Name,Second_Team_Score,Location,Crowd_Attendance
AFL-M,23,Saturday,19 August,7:10 pm,Adelaide,73,def. by,Sydney,74,Adelaide Oval,44817
AFL-M,23,Sunday,20 August,1:10 pm,Western Bulldogs,85,def. by,West Coast,92,Marvel Stadium,23965
AFL-M,23,Sunday,20 August,3:20 pm,Melbourne,87,def.,Hawthorn,60,Melbourne Cricket Ground,50142
AFL-M,23,Sunday,20 August,2:40 pm,Fremantle,58,def. by,Port Adelaide,74,Optus Stadium,38360
AFL-M,24,Friday,25 August,7:50 pm,Essendon,31,def. by,Collingwood,101,Melbourne Cricket Ground,74344
AFL-M,24,Saturday,26 August,1:45 pm,North Melbourne,132,def.,Gold Coast,97,Blundstone Arena,4378
AFL-M,24,Saturday,26 August,1:45 pm,Hawthorn,56,def. by,Fremantle,93,Melbourne Cricket Ground,27951
AFL-M,24,Saturday,26 August,4:35 pm,Brisbane Lions,72,def.,St Kilda,60,The Gabba,31689
AFL-M,24,Saturday,26 August,7:25 pm,Geelong,79,def. by,Western Bulldogs,104,GMHBA Stadium,20533
AFL-M,24,Saturday,26 August,6:10 pm,West Coast,78,def. by,Adelaide,123,Optus Stadium,47027
AFL-M,24,Sunday,27 August,12:00 pm,Port Adelaide,94,def.,Richmond,63,Adelaide Oval,39860
AFL-M,24,Sunday,27 August,3:20 pm,Sydney,56,def. by,Melbourne,77,Sydney Cricket Ground,41753
AFL-M,24,Sunday,27 August,6:10 pm,Carlton,73,def. by,Greater Western Sydney,105,Marvel Stadium,44354
AFL-W,1,Friday,1 September,7:20 pm,Melbourne,73,def.,Collingwood,31,Ikon Park,8412
AFL-W,1,Saturday,2 September,1:05 pm,Carlton,34,def.,Gold Coast,32,Ikon Park,3244
AFL-W,1,Saturday,2 September,2:35 pm,Adelaide,58,def.,Port Adelaide,28,Norwood Oval,8722
AFL-W,1,Saturday,2 September,5:05 pm,Geelong,65,def.,Western Bulldogs,17,GMHBA Stadium,4404
AFL-W,1,Saturday,2 September,7:15 pm,Hawthorn,30,def. by,Essendon,49,Kinetic Stadium,3722
AFL-W,1,Sunday,3 September,1:05 pm,North Melbourne,56,def.,St Kilda,16,Blundstone Arena,2454
AFL-W,1,Sunday,3 September,3:05 pm,Brisbane,34,def. by,Richmond,40,Brighton Homes Arena,3153
AFL-W,1,Sunday,3 September,3:05 pm,Sydney,51,def.,Greater Western Sydney,46,North Sydney Oval,5474
AFL-W,1,Sunday,3 September,3:05 pm,Fremantle,27,def.,West Coast,19,Fremantle Community Bank Oval,3790
AFL-W,2,Friday,8 September,5:05 pm,Richmond,12,def. by,Adelaide,41,Ikon Park,1083
AFL-W,2,Saturday,9 September,11:05 am,Gold Coast,99,def.,West Coast,26,Heritage Bank Stadium,1071
AFL-W,2,Saturday,9 September,12:35 pm,Port Adelaide,26,def. by,Brisbane,76,Alberton Oval,1928
AFL-W,2,Saturday,9 September,1:05 pm,Sydney,41,def. by,Geelong,68,North Sydney Oval,2878
AFL-W,2,Sunday,10 September,1:05 pm,Western Bulldogs,39,def. by,Hawthorn,46,Mars Stadium,1564
AFL-W,2,Sunday,10 September,1:05 pm,Collingwood,46,def.,Fremantle,25,Victoria Park,1914
AFL-W,2,Sunday,10 September,3:05 pm,North Melbourne,66,def.,Carlton,6,Arden Street Oval,2788
AFL-W,2,Sunday,10 September,3:05 pm,Essendon,40,def.,St Kilda,28,Windy Hill,3195
AFL-W,2,Sunday,10 September,5:05 pm,Greater Western Sydney,22,def. by,Melbourne,99,Manuka Oval,2028
AFL-W,3,Friday,15 September,5:05 pm,Geelong,22,def. by,North Melbourne,31,GMHBA Stadium,2907
AFL-W,3,Saturday,16 September,1:35 pm,Greater Western Sydney,34,def. by,Richmond,53,Blacktown ISP Oval,1051
AFL-W,3,Saturday,16 September,2:35 pm,Adelaide,81,def.,Essendon,34,Unley Oval,2238
AFL-W,3,Saturday,16 September,3:05 pm,Melbourne,83,def.,Western Bulldogs,41,Casey Fields,1457
AFL-W,3,Saturday,16 September,3:05 pm,Fremantle,35,def.,Hawthorn,22,Fremantle Community Bank Oval,2092
AFL-W,3,Sunday,17 September,1:05 pm,St Kilda,48,def. by,Port Adelaide,56,RSEA Park,2016
AFL-W,3,Sunday,17 September,1:05 pm,West Coast,24,def. by,Carlton,77,Mineral Resources Park,1208
AFL-W,3,Sunday,17 September,3:05 pm,Collingwood,21,def. by,Gold Coast,33,Victoria Park,2537
AFL-W,3,Sunday,17 September,5:05 pm,Brisbane,87,def.,Sydney,32,Brighton Homes Arena,2582
AFL-W,4,Friday,22 September,5:05 pm,Hawthorn,11,def. by,Melbourne,70,Kinetic Stadium,2817
AFL-W,4,Saturday,23 September,11:05 am,Greater Western Sydney,37,def. by,Adelaide,106,Manuka Oval,1809
AFL-W,4,Saturday,23 September,1:05 pm,Carlton,40,def. by,Richmond,47,Ikon Park,2304
AFL-W,4,Saturday,23 September,12:35 pm,Port Adelaide,42,def. by,Geelong,70,Alberton Oval,2132
AFL-W,4,Sunday,24 September,1:05 pm,Sydney,34,def.,West Coast,21,Henson Park,4595
